"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 02:02:35 GMT 2024","Tue Jun 11 02:02:35 GMT 2024","467","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/editor/",""
"passed","Tue Jun 11 02:09:30 GMT 2024","Tue Jun 11 02:09:41 GMT 2024","10848","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/indicators/ на сервере СЕО prod",""
"passed","Tue Jun 11 02:12:35 GMT 2024","Tue Jun 11 02:12:46 GMT 2024","10805","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/dealers/ на сервере prod",""
"skipped","Tue Jun 11 02:13:41 GMT 2024","Tue Jun 11 02:13:41 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/zd/]",""
"skipped","Tue Jun 11 02:13:41 GMT 2024","Tue Jun 11 02:13:41 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/staff/]",""
"passed","Tue Jun 11 02:09:44 GMT 2024","Tue Jun 11 02:09:55 GMT 2024","10859","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/uploads/ на сервере СЕО prod",""
"passed","Tue Jun 11 02:03:11 GMT 2024","Tue Jun 11 02:03:22 GMT 2024","10842","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/editor/ на сервере СЕО",""
"skipped","Tue Jun 11 02:13:41 GMT 2024","Tue Jun 11 02:13:41 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/users/]",""
"passed","Tue Jun 11 02:03:54 GMT 2024","Tue Jun 11 02:04:06 GMT 2024","11154","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/srr/ на сервере СЕО",""
"passed","Tue Jun 11 02:02:24 GMT 2024","Tue Jun 11 02:02:25 GMT 2024","1217","tests","editor_page_test","TestEditorPageSmoke","","","Проверить доступность меню в редакторе на prod",""
"passed","Tue Jun 11 02:08:20 GMT 2024","Tue Jun 11 02:08:31 GMT 2024","10853","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/gr/ на сервере СЕО prod",""
"passed","Tue Jun 11 02:13:54 GMT 2024","Tue Jun 11 02:14:05 GMT 2024","11503","tests","srr_page_test","TestSRRPageSmoke","","","Проверить формирование отчета SRR в файл excell на prod",""
"passed","Tue Jun 11 02:06:43 GMT 2024","Tue Jun 11 02:06:54 GMT 2024","10865","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/editor/ на сервере СЕО prod",""
"passed","Tue Jun 11 02:14:39 GMT 2024","Tue Jun 11 02:14:40 GMT 2024","1202","tests","srr_page_test","TestSRRPageSmoke","","","Проверить текст в модальном окне prod",""
"passed","Tue Jun 11 02:02:41 GMT 2024","Tue Jun 11 02:02:42 GMT 2024","1011","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru",""
"passed","Tue Jun 11 02:02:39 GMT 2024","Tue Jun 11 02:02:39 GMT 2024","463","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/q/",""
