"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование страницы 'Редактор'","","","0","0","1","0","0"
"Тестирование главной страницы","","","1","0","32","0","0"
"Test integration with MSPortal","","","0","2","1","0","0"
"Тестирование страницы отчетов SRR","","","0","0","4","0","0"
