"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 14 02:12:38 GMT 2024","Sat Sep 14 02:12:38 GMT 2024","473","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/indicators/",""
"broken","Sat Sep 14 02:17:59 GMT 2024","Sat Sep 14 02:17:59 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/gr/]",""
"skipped","Sat Sep 14 02:23:35 GMT 2024","Sat Sep 14 02:23:35 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/dealers/]",""
"passed","Sat Sep 14 02:22:14 GMT 2024","Sat Sep 14 02:22:25 GMT 2024","10812","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/dealers/ на сервере prod",""
"broken","Sat Sep 14 02:24:35 GMT 2024","Sat Sep 14 02:24:35 GMT 2024","0","tests","srr_page_test","TestSRRPageSmoke","","","Проверить доступность подотчета SRR на seo prod",""
"passed","Sat Sep 14 02:12:41 GMT 2024","Sat Sep 14 02:12:42 GMT 2024","1015","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/reports/",""
"broken","Sat Sep 14 02:13:45 GMT 2024","Sat Sep 14 02:13:45 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo[https://dealer-passport-test.xsfera.ru/srr/]",""
"passed","Sat Sep 14 02:20:48 GMT 2024","Sat Sep 14 02:20:59 GMT 2024","10800","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/accounting/ на сервере prod",""
"skipped","Sat Sep 14 02:23:35 GMT 2024","Sat Sep 14 02:23:35 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/logs/]",""
"skipped","Sat Sep 14 02:23:35 GMT 2024","Sat Sep 14 02:23:35 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/accounting/]",""
"skipped","Sat Sep 14 02:23:35 GMT 2024","Sat Sep 14 02:23:35 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/zd/]",""
"broken","Sat Sep 14 02:19:19 GMT 2024","Sat Sep 14 02:19:19 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/uploads/]",""
"passed","Sat Sep 14 02:12:47 GMT 2024","Sat Sep 14 02:12:48 GMT 2024","701","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/q/",""
"broken","Sat Sep 14 02:14:39 GMT 2024","Sat Sep 14 02:14:39 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo[https://dealer-passport-test.xsfera.ru/gr/]",""
"passed","Sat Sep 14 02:24:05 GMT 2024","Sat Sep 14 02:24:17 GMT 2024","11447","tests","srr_page_test","TestSRRPageSmoke","","","Проверить формирование отчета SRR на экране на prod",""
