"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование главной страницы","","","0","1","32","0","0"
"Тестирование страницы 'Редактор'","","","0","0","1","0","0"
"Тестирование страницы отчетов SRR","","","0","0","4","0","0"
"Test integration with MSPortal","","","1","1","1","0","0"
