"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование главной страницы","","","0","26","30","0","0"
"Test integrations","","","0","0","8","0","0"
"Тестирование страницы отчетов SRR","","","0","0","4","0","0"
"Тестирование страницы 'Редактор'","","","0","1","0","0","0"
