"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"34","Тестирование главной страницы","0","","22","0","","0"
"0","LogsTest","5","","0","0","","0"
"0","ApiTestsPD","3","","0","3","","0"
"0","EducationProgramsTest","3","","0","3","","0"
"0","Test integrations","0","","10","0","","0"
"0","CoursesTest","2","","0","0","","0"
"4","Тестирование страницы отчетов SRR","0","","0","0","","0"
"1","Тестирование страницы 'Редактор'","0","","0","0","","0"
"0","ExternalApiTests","4","","0","0","","0"
"0","Тестирование GQL","1","","0","0","","0"
