"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование страницы отчетов SRR","","","0","0","4","0","0"
"Тестирование главной страницы","","","0","0","52","0","0"
"Тестирование страницы 'Редактор'","","","0","0","1","0","0"
"Test integration with MSPortal","","","0","0","3","0","0"
