"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 29 02:11:47 GMT 2024","Thu Aug 29 02:11:47 GMT 2024","488","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/editor/",""
"passed","Thu Aug 29 02:20:43 GMT 2024","Thu Aug 29 02:20:54 GMT 2024","10781","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/gr/ на сервере prod",""
"passed","Thu Aug 29 02:11:49 GMT 2024","Thu Aug 29 02:11:49 GMT 2024","487","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/srr/",""
"passed","Thu Aug 29 02:11:50 GMT 2024","Thu Aug 29 02:11:51 GMT 2024","417","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/gr/",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/dealers/]",""
"passed","Thu Aug 29 02:12:01 GMT 2024","Thu Aug 29 02:12:02 GMT 2024","907","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/gr/",""
"passed","Thu Aug 29 02:11:45 GMT 2024","Thu Aug 29 02:11:45 GMT 2024","409","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/users/",""
"passed","Thu Aug 29 02:11:40 GMT 2024","Thu Aug 29 02:11:40 GMT 2024","628","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/srr/",""
"passed","Thu Aug 29 02:11:55 GMT 2024","Thu Aug 29 02:11:56 GMT 2024","887","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/editor/",""
"passed","Thu Aug 29 02:11:58 GMT 2024","Thu Aug 29 02:11:59 GMT 2024","782","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/accounting/",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/gr/]",""
"passed","Thu Aug 29 02:11:42 GMT 2024","Thu Aug 29 02:11:43 GMT 2024","642","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/gr/",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/q/]",""
"passed","Thu Aug 29 02:23:44 GMT 2024","Thu Aug 29 02:23:45 GMT 2024","1203","tests","srr_page_test","TestSRRPageSmoke","","","Проверить текст в модальном окне prod",""
"passed","Thu Aug 29 02:11:54 GMT 2024","Thu Aug 29 02:11:55 GMT 2024","1110","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru",""
"broken","Thu Aug 29 02:17:54 GMT 2024","Thu Aug 29 02:17:54 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/dealers/]",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/indicators/]",""
"passed","Thu Aug 29 02:12:50 GMT 2024","Thu Aug 29 02:13:00 GMT 2024","10667","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/logs/ на сервере СЕО",""
"passed","Thu Aug 29 02:11:56 GMT 2024","Thu Aug 29 02:11:57 GMT 2024","891","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/reports/",""
"passed","Thu Aug 29 02:20:01 GMT 2024","Thu Aug 29 02:20:11 GMT 2024","10791","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/accounting/ на сервере prod",""
"passed","Thu Aug 29 02:22:50 GMT 2024","Thu Aug 29 02:22:51 GMT 2024","909","tests","msportal_test","TestQuality","","","Получение данных прод MSPortal",""
"skipped","Thu Aug 29 02:11:37 GMT 2024","Thu Aug 29 02:11:37 GMT 2024","0","tests","editor_page_test","TestEditorPageSmoke","","","Проверить доступность меню в редакторе на test",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/accounting/]",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/users/]",""
"passed","Thu Aug 29 02:12:05 GMT 2024","Thu Aug 29 02:12:06 GMT 2024","623","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/indicators/",""
"broken","Thu Aug 29 02:17:02 GMT 2024","Thu Aug 29 02:17:02 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/zd/]",""
"passed","Thu Aug 29 02:12:03 GMT 2024","Thu Aug 29 02:12:04 GMT 2024","923","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/dealers/",""
"passed","Thu Aug 29 02:11:38 GMT 2024","Thu Aug 29 02:11:39 GMT 2024","626","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/reports/",""
"passed","Thu Aug 29 02:12:00 GMT 2024","Thu Aug 29 02:12:01 GMT 2024","615","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/zd/",""
"passed","Thu Aug 29 02:13:58 GMT 2024","Thu Aug 29 02:14:09 GMT 2024","10777","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/gr/ на сервере СЕО",""
"broken","Thu Aug 29 02:16:10 GMT 2024","Thu Aug 29 02:16:10 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/logs/]",""
"broken","Thu Aug 29 02:16:23 GMT 2024","Thu Aug 29 02:16:23 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/srr/]",""
"passed","Thu Aug 29 02:11:48 GMT 2024","Thu Aug 29 02:11:49 GMT 2024","676","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/logs/",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru]",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru]",""
"broken","Thu Aug 29 02:15:57 GMT 2024","Thu Aug 29 02:15:57 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/reports/]",""
"broken","Thu Aug 29 02:23:28 GMT 2024","Thu Aug 29 02:23:28 GMT 2024","0","tests","srr_page_test","TestSRRPageSmoke","","","Проверить формирование отчета SRR в файл excell и на экран на seo prod",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/staff/]",""
"passed","Thu Aug 29 02:11:53 GMT 2024","Thu Aug 29 02:11:54 GMT 2024","420","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/uploads/",""
"passed","Thu Aug 29 02:11:46 GMT 2024","Thu Aug 29 02:11:47 GMT 2024","414","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/documents/]",""
"passed","Thu Aug 29 02:11:51 GMT 2024","Thu Aug 29 02:11:52 GMT 2024","748","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/staff/",""
"passed","Thu Aug 29 02:13:17 GMT 2024","Thu Aug 29 02:13:28 GMT 2024","10690","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/accounting/ на сервере СЕО",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/zd/]",""
"passed","Thu Aug 29 02:11:44 GMT 2024","Thu Aug 29 02:11:45 GMT 2024","405","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/dealers/",""
"passed","Thu Aug 29 02:11:39 GMT 2024","Thu Aug 29 02:11:40 GMT 2024","724","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/logs/",""
"broken","Thu Aug 29 02:18:21 GMT 2024","Thu Aug 29 02:18:21 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/indicators/]",""
"passed","Thu Aug 29 02:19:18 GMT 2024","Thu Aug 29 02:19:29 GMT 2024","10771","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/reports/ на сервере prod",""
"passed","Thu Aug 29 02:11:38 GMT 2024","Thu Aug 29 02:11:38 GMT 2024","490","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/editor/",""
"passed","Thu Aug 29 02:11:42 GMT 2024","Thu Aug 29 02:11:42 GMT 2024","638","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/zd/",""
"passed","Thu Aug 29 02:15:06 GMT 2024","Thu Aug 29 02:15:17 GMT 2024","10704","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/indicators/ на сервере СЕО",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/srr/]",""
"passed","Thu Aug 29 02:21:26 GMT 2024","Thu Aug 29 02:21:37 GMT 2024","10784","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/dealers/ на сервере prod",""
"passed","Thu Aug 29 02:15:20 GMT 2024","Thu Aug 29 02:15:31 GMT 2024","10702","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/uploads/ на сервере СЕО",""
"broken","Thu Aug 29 02:11:10 GMT 2024","Thu Aug 29 02:11:10 GMT 2024","0","tests","editor_page_test","TestEditorPageSmoke","","","Проверить доступность меню в редакторе на 3001",""
"broken","Thu Aug 29 02:17:28 GMT 2024","Thu Aug 29 02:17:28 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/q/]",""
"passed","Thu Aug 29 02:19:04 GMT 2024","Thu Aug 29 02:19:15 GMT 2024","10778","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/editor/ на сервере prod",""
"passed","Thu Aug 29 02:19:46 GMT 2024","Thu Aug 29 02:19:57 GMT 2024","10786","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/srr/ на сервере prod",""
"broken","Thu Aug 29 02:15:44 GMT 2024","Thu Aug 29 02:15:44 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/editor/]",""
"broken","Thu Aug 29 02:22:33 GMT 2024","Thu Aug 29 02:22:33 GMT 2024","0","tests","main_page_test","TestMainPageRegression","","","Проверка корректности перехода по ссылке Отчеты СЕО",""
"passed","Thu Aug 29 02:11:44 GMT 2024","Thu Aug 29 02:11:44 GMT 2024","612","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/staff/",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/uploads/]",""
"broken","Thu Aug 29 02:16:49 GMT 2024","Thu Aug 29 02:16:49 GMT 2024","0","tests","main_page_test","TestMainPageSmoke","","","test_open_seo_prod[https://dealer-passport-test.xsfera.ru:3001/documents/]",""
"skipped","Thu Aug 29 02:22:46 GMT 2024","Thu Aug 29 02:22:46 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/q/]",""
"passed","Thu Aug 29 02:12:09 GMT 2024","Thu Aug 29 02:12:20 GMT 2024","10542","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru на сервере СЕО",""
