"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 02:01:09 GMT 2024","Tue Jun 04 02:01:09 GMT 2024","455","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/gr/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/users/]",""
"passed","Tue Jun 04 02:13:11 GMT 2024","Tue Jun 04 02:13:13 GMT 2024","1229","tests","srr_page_test","TestSRRPageSmoke","","","Проверить текст в модальном окне prod",""
"passed","Tue Jun 04 02:01:05 GMT 2024","Tue Jun 04 02:01:05 GMT 2024","456","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/editor/",""
"passed","Tue Jun 04 02:12:42 GMT 2024","Tue Jun 04 02:12:53 GMT 2024","11535","tests","srr_page_test","TestSRRPageSmoke","","","Проверить формирование отчета SRR на экране на prod",""
"passed","Tue Jun 04 02:00:56 GMT 2024","Tue Jun 04 02:00:57 GMT 2024","714","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/editor/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/logs/]",""
"passed","Tue Jun 04 02:11:36 GMT 2024","Tue Jun 04 02:11:47 GMT 2024","10676","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/indicators/ на сервере prod",""
"passed","Tue Jun 04 02:00:55 GMT 2024","Tue Jun 04 02:00:56 GMT 2024","766","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru",""
"passed","Tue Jun 04 02:08:32 GMT 2024","Tue Jun 04 02:08:42 GMT 2024","10502","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru на сервере prod",""
"passed","Tue Jun 04 02:06:47 GMT 2024","Tue Jun 04 02:06:58 GMT 2024","10909","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/gr/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:04:45 GMT 2024","Tue Jun 04 02:04:56 GMT 2024","10913","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/editor/ на сервере СЕО prod",""
"skipped","Tue Jun 04 02:00:54 GMT 2024","Tue Jun 04 02:00:55 GMT 2024","1229","tests","editor_page_test","TestEditorPageSmoke","","","Проверить доступность меню в редакторе на prod",""
"passed","Tue Jun 04 02:01:22 GMT 2024","Tue Jun 04 02:01:22 GMT 2024","699","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/staff/",""
"passed","Tue Jun 04 02:01:01 GMT 2024","Tue Jun 04 02:01:01 GMT 2024","461","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/q/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/editor/]",""
"passed","Tue Jun 04 02:12:04 GMT 2024","Tue Jun 04 02:12:06 GMT 2024","2082","tests","main_page_test","TestMainPageRegression","","","Проверка корректности перехода по ссылке Редактор СЕО",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/documents/]",""
"passed","Tue Jun 04 02:07:49 GMT 2024","Tue Jun 04 02:08:00 GMT 2024","11341","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/users/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:10:39 GMT 2024","Tue Jun 04 02:10:50 GMT 2024","10820","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/q/ на сервере prod",""
"passed","Tue Jun 04 02:01:00 GMT 2024","Tue Jun 04 02:01:01 GMT 2024","776","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/gr/",""
"passed","Tue Jun 04 02:00:58 GMT 2024","Tue Jun 04 02:00:59 GMT 2024","578","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/srr/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/editor/]",""
"passed","Tue Jun 04 02:09:28 GMT 2024","Tue Jun 04 02:09:39 GMT 2024","10818","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/srr/ на сервере prod",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/reports/]",""
"passed","Tue Jun 04 02:01:11 GMT 2024","Tue Jun 04 02:01:12 GMT 2024","461","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/uploads/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/zd/]",""
"passed","Tue Jun 04 02:01:15 GMT 2024","Tue Jun 04 02:01:16 GMT 2024","1015","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/logs/",""
"passed","Tue Jun 04 02:01:25 GMT 2024","Tue Jun 04 02:01:25 GMT 2024","709","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/uploads/",""
"failed","Tue Jun 04 02:03:48 GMT 2024","Tue Jun 04 02:03:50 GMT 2024","2182","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/staff/ на сервере СЕО",""
"passed","Tue Jun 04 02:01:09 GMT 2024","Tue Jun 04 02:01:10 GMT 2024","458","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/q/",""
"passed","Tue Jun 04 02:02:52 GMT 2024","Tue Jun 04 02:03:03 GMT 2024","10875","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/documents/ на сервере СЕО",""
"passed","Tue Jun 04 02:01:21 GMT 2024","Tue Jun 04 02:01:22 GMT 2024","703","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/q/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru]",""
"passed","Tue Jun 04 02:01:07 GMT 2024","Tue Jun 04 02:01:07 GMT 2024","458","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/srr/",""
"passed","Tue Jun 04 02:03:06 GMT 2024","Tue Jun 04 02:03:17 GMT 2024","10905","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/zd/ на сервере СЕО",""
"passed","Tue Jun 04 02:11:08 GMT 2024","Tue Jun 04 02:11:18 GMT 2024","10810","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/dealers/ на сервере prod",""
"passed","Tue Jun 04 02:01:18 GMT 2024","Tue Jun 04 02:01:19 GMT 2024","1081","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/accounting/",""
"passed","Tue Jun 04 02:01:04 GMT 2024","Tue Jun 04 02:01:04 GMT 2024","470","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/uploads/",""
"passed","Tue Jun 04 02:01:12 GMT 2024","Tue Jun 04 02:01:13 GMT 2024","1013","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru",""
"passed","Tue Jun 04 02:05:33 GMT 2024","Tue Jun 04 02:05:55 GMT 2024","21838","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/srr/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:11:50 GMT 2024","Tue Jun 04 02:12:01 GMT 2024","10804","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/uploads/ на сервере prod",""
"passed","Tue Jun 04 02:01:19 GMT 2024","Tue Jun 04 02:01:19 GMT 2024","700","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/documents/",""
"passed","Tue Jun 04 02:09:42 GMT 2024","Tue Jun 04 02:09:53 GMT 2024","10820","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/accounting/ на сервере prod",""
"passed","Tue Jun 04 02:01:04 GMT 2024","Tue Jun 04 02:01:05 GMT 2024","706","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001",""
"passed","Tue Jun 04 02:01:13 GMT 2024","Tue Jun 04 02:01:14 GMT 2024","1083","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/editor/",""
"passed","Tue Jun 04 02:08:18 GMT 2024","Tue Jun 04 02:08:29 GMT 2024","10827","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/uploads/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:01:16 GMT 2024","Tue Jun 04 02:01:17 GMT 2024","1855","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/srr/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/indicators/]",""
"passed","Tue Jun 04 02:02:10 GMT 2024","Tue Jun 04 02:02:21 GMT 2024","10832","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/logs/ на сервере СЕО",""
"passed","Tue Jun 04 02:06:17 GMT 2024","Tue Jun 04 02:06:30 GMT 2024","12831","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/documents/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:10:25 GMT 2024","Tue Jun 04 02:10:35 GMT 2024","10803","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/gr/ на сервере prod",""
"passed","Tue Jun 04 02:00:57 GMT 2024","Tue Jun 04 02:00:58 GMT 2024","715","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/logs/",""
"passed","Tue Jun 04 02:01:06 GMT 2024","Tue Jun 04 02:01:07 GMT 2024","770","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/logs/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/gr/]",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/documents/]",""
"passed","Tue Jun 04 02:03:34 GMT 2024","Tue Jun 04 02:03:45 GMT 2024","10853","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/q/ на сервере СЕО",""
"passed","Tue Jun 04 02:08:04 GMT 2024","Tue Jun 04 02:08:15 GMT 2024","10954","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/indicators/ на сервере СЕО prod",""
"passed","Tue Jun 04 02:04:17 GMT 2024","Tue Jun 04 02:04:28 GMT 2024","10898","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/uploads/ на сервере СЕО",""
"passed","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:17 GMT 2024","2964","tests","msportal_test","TestQuality","","","Проверка доступности MSPortal",""
"passed","Tue Jun 04 02:10:10 GMT 2024","Tue Jun 04 02:10:21 GMT 2024","10811","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/zd/ на сервере prod",""
"passed","Tue Jun 04 02:03:20 GMT 2024","Tue Jun 04 02:03:31 GMT 2024","10983","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/gr/ на сервере СЕО",""
"passed","Tue Jun 04 02:08:46 GMT 2024","Tue Jun 04 02:08:57 GMT 2024","10802","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/editor/ на сервере prod",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/q/]",""
"passed","Tue Jun 04 02:01:05 GMT 2024","Tue Jun 04 02:01:06 GMT 2024","760","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/reports/",""
"passed","Tue Jun 04 02:01:24 GMT 2024","Tue Jun 04 02:01:25 GMT 2024","702","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/indicators/",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/accounting/]",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/accounting/]",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/zd/]",""
"skipped","Tue Jun 04 02:12:14 GMT 2024","Tue Jun 04 02:12:14 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/dealers/]",""
