"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 02:23:11 GMT 2024","Fri Sep 06 02:23:22 GMT 2024","10908","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/gr/ на сервере prod",""
"passed","Fri Sep 06 02:13:05 GMT 2024","Fri Sep 06 02:13:06 GMT 2024","1168","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/gr/",""
"passed","Fri Sep 06 02:19:53 GMT 2024","Fri Sep 06 02:20:03 GMT 2024","10797","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/staff/ на сервере СЕО prod",""
"passed","Fri Sep 06 02:13:17 GMT 2024","Fri Sep 06 02:13:17 GMT 2024","625","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/zd/",""
"passed","Fri Sep 06 02:15:13 GMT 2024","Fri Sep 06 02:15:24 GMT 2024","10802","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/documents/ на сервере СЕО",""
"passed","Fri Sep 06 02:22:09 GMT 2024","Fri Sep 06 02:22:20 GMT 2024","10926","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/srr/ на сервере prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/documents/]",""
"passed","Fri Sep 06 02:21:08 GMT 2024","Fri Sep 06 02:21:18 GMT 2024","10511","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru на сервере prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/gr/]",""
"passed","Fri Sep 06 02:21:54 GMT 2024","Fri Sep 06 02:22:05 GMT 2024","10931","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/logs/ на сервере prod",""
"passed","Fri Sep 06 02:21:38 GMT 2024","Fri Sep 06 02:21:49 GMT 2024","10924","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/reports/ на сервере prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/uploads/]",""
"passed","Fri Sep 06 02:13:39 GMT 2024","Fri Sep 06 02:13:41 GMT 2024","2318","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/indicators/",""
"passed","Fri Sep 06 02:25:20 GMT 2024","Fri Sep 06 02:25:21 GMT 2024","1281","tests","srr_page_test","TestSRRPageSmoke","","","Проверить доступность списка групп отчетов SRR на prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/reports/]",""
"passed","Fri Sep 06 02:13:13 GMT 2024","Fri Sep 06 02:13:14 GMT 2024","626","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/logs/",""
"passed","Fri Sep 06 02:13:18 GMT 2024","Fri Sep 06 02:13:19 GMT 2024","621","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/q/",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/srr/]",""
"passed","Fri Sep 06 02:16:43 GMT 2024","Fri Sep 06 02:16:54 GMT 2024","10838","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/users/ на сервере СЕО",""
"passed","Fri Sep 06 02:13:19 GMT 2024","Fri Sep 06 02:13:19 GMT 2024","621","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/staff/",""
"passed","Fri Sep 06 02:17:28 GMT 2024","Fri Sep 06 02:17:38 GMT 2024","10508","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001 на сервере СЕО prod",""
"passed","Fri Sep 06 02:13:27 GMT 2024","Fri Sep 06 02:13:29 GMT 2024","1351","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/srr/",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/dealers/]",""
"passed","Fri Sep 06 02:13:07 GMT 2024","Fri Sep 06 02:13:08 GMT 2024","965","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/staff/",""
"passed","Fri Sep 06 02:13:17 GMT 2024","Fri Sep 06 02:13:18 GMT 2024","619","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/gr/",""
"passed","Fri Sep 06 02:13:02 GMT 2024","Fri Sep 06 02:13:03 GMT 2024","622","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru/srr/",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/gr/]",""
"passed","Fri Sep 06 02:22:55 GMT 2024","Fri Sep 06 02:23:06 GMT 2024","10925","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport.vaz.ru/zd/ на сервере prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/uploads/]",""
"passed","Fri Sep 06 02:15:28 GMT 2024","Fri Sep 06 02:15:39 GMT 2024","10793","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru/zd/ на сервере СЕО",""
"passed","Fri Sep 06 02:17:57 GMT 2024","Fri Sep 06 02:18:08 GMT 2024","10800","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/reports/ на сервере СЕО prod",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru]",""
"passed","Fri Sep 06 02:13:35 GMT 2024","Fri Sep 06 02:13:37 GMT 2024","2304","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport.vaz.ru/dealers/",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/srr/]",""
"passed","Fri Sep 06 02:13:16 GMT 2024","Fri Sep 06 02:13:17 GMT 2024","625","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/documents/",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/editor/]",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_urls_vpn[https://dealer-passport-test.vaz.ru/staff/]",""
"skipped","Fri Sep 06 02:25:10 GMT 2024","Fri Sep 06 02:25:10 GMT 2024","0","tests","main_page_test","TestMainPageTEST","","","test_open_vpn[https://dealer-passport-test.vaz.ru/documents/]",""
"passed","Fri Sep 06 02:13:20 GMT 2024","Fri Sep 06 02:13:21 GMT 2024","625","tests","main_page_test","TestMainPageSmoke","","","Проверка доступности https://dealer-passport-test.xsfera.ru:3001/users/",""
"passed","Fri Sep 06 02:24:59 GMT 2024","Fri Sep 06 02:25:01 GMT 2024","2071","tests","main_page_test","TestMainPageRegression","","","Проверка корректности перехода по ссылке Редактор СЕО",""
"passed","Fri Sep 06 02:19:08 GMT 2024","Fri Sep 06 02:19:19 GMT 2024","10806","tests","main_page_test","TestMainPageSmoke","","","Проверить отсутствие ошибок при открытии https://dealer-passport-test.xsfera.ru:3001/zd/ на сервере СЕО prod",""
